IATA,ICAO,Airline,Call sign,Country,Comments
,MIZ,Desarrollo Milaz,MILAZ,Mexico,
,DTY,Destiny Air Services,DESTINY,Sierra Leone,
,LFO,Deutsches Zentrum fur Luft-und Raumfahrt EV,LUFO,Germany,
,DIS,Di Air,DI AIR,Serbia,
,SPK,Diamond Aviation,SPARKLE,United States,
,DRB,Didier Rousset Buy,DIDIER,Chile,
,DGT,Digital Equipment Corporation,DIGITAL,United States,
,DIP,Diplomatic Freight Services,DIPFREIGHT,United Kingdom,
,ENA,Dirección General de Aviación Civil y Telecomunicasciones,ENA,Spain,
,DIA,Direct Air,BLUE SKY,United States,
,XAP,Direct Air trading as Midway Connection,MID-TOWN,United States,
,DCT,Direct Flight,,United Kingdom,
,SXP,Direct Fly,EXPRESS SKY,Poland,defunct
,DCV,Discover Air,DISCOVER,United States,
,XDS,Dispatch Services,,United States,
,DIX,Dix Aviation,DIX FLIGHT,Germany,
,DEE,Dixie Airways,TACAIR,United States,
,,,,,
,UDN,Dniproavia,DNIEPRO,Ukraine,
,FDN,Dolphin Air,FLYING DOLPHIN,United Arab Emirates,
,IXX,Dolphin Express Airlines,ISLAND EXPRESS,United States,
,DPL,Dome Petroleum,DOME,Canada,
,MYO,Dominguez Toledo (Grupo Mayoral),MAYORAL,Spain,
,DVB,Don Avia,DONSEBAI,Kazakhstan,
,DON,Donair Flying Club,DONAIR,United Kingdom,
,DAD,Dorado Air,DORADO AIR,Dominican Republic,
,DOR,Dornier,DORNIER,Germany,
,DAV,Dornier Aviation Nigeria,DANA AIR,Nigeria,
,DOM,Dos Mundos,DOS MUNDOS,Dominican Republic,
,DCA,Dreamcatcher Airways,DREAM CATCHER,United Kingdom,
,DRE,Drummond Island Air,MICHIGAN,United States,
,DUB,Dubai Airwing,DUBAI,United Arab Emirates,
,DBK,Dubrovnik Air,SEAGULL,Croatia,
,DUK,Ducair,LION KING,Luxembourg,
,DBJ,Duchess of Britany (Jersey) Limited,DUCHESS,United Kingdom,
,LPD,UK Royal/HRH Duke of York,LEOPARD,United Kingdom,
,DUN,Dun'Air,DUNAIR,Mauritania,
,PHD,Duncan Aviation,PANHANDLE,United States,
,VVF,Dunyaya Bakis Hava Tasimaciligi,WORLDFOCUS,Turkey,
,DUO,Duo Airways,FLY DUO,United Kingdom,
,DJE,Durango Jet,DURANGO JET,Mexico,
,DNL,Dutch Antilles Express,DUTCH ANTILLES,Netherlands Antilles,
,DCE,Dutch Caribbean Express,DUTCH CARIBBEAN,Netherlands Antilles,
,DBR,Dutchbird,DUTCHBIRD,Netherlands,
,DFS,Dwyer Aircraft Services,DWYAIR,United States,
,XDY,Dynair Services,,United States,
,DNR,Dynamair Aviation,DYNAMAIR,Canada,
,DYA,Dynamic Air,DYNAMIC,Netherlands,
,EES,Eagle Express,,Serbia,2014[2]
,EBF,Echo Airlines,,Bahamas,2014[2]
,ENY,Envoy Air,ENVOY,United States,2014[2]
,EVK,Everett Aviation,EVERETT,Kenya,[2]
,ENK,Executive Airlink,SUNBIRD,United States,Allocated in 2014[11]
,ELB,Ellinair,ELLINAIR HELLAS,Greece,
,EVT,Everett Limited,,Tanzania,
,ELN,Eleron Aviation Company,ELERON,Ukraine,
,ECC,Eclair Aviation,ECLAIR,Czech Republic,
,ELU,Egyptian Leisure Airlines,EGYPTIAN LEISURE,Egypt,
,LTD,Executive Express Aviation/JA Air Charter,LIGHT SPEED,United States,
,EPR,Express Airways,EMPEROR,Slovenia,
,XSL,Excel-Aire Service,EXCELAIRE,United States,
,XSR,Executive Flight Services,AIRSHARE,United States,
,EZJ,Ezjet GT,GUYANA JET,Guyana,
,MNU,Elite Airways,MAINER,United States,
,,Europe Jet,EUROPE JET,Turkey,
,EHD,E H Darby Aviation,PLATINUM AIR,United States,
,EXW,Executive Airlines Services,ECHOLINE,Nigeria,
,EFS,EFAOS- Agencia De Viagens e Turismo,EFAOS,Angola,
,EFD,Eisele Flugdienst,EVER FLIGHT,Germany,
,FSD,EFS-Flugservice,FLUGSERVICE,Germany,
,EIS,EIS Aircraft,COOL,Germany,
,IAG,EPAG,EPAG,France,
,ESI,ESI Eliservizi Italiani,ELISERVIZI,Italy,
,EUY,EU Airways,EUROAIRWAYS,Ireland,
,ICR,Eagle Aero,ICARUS FLIGHTS,United States,
,FEI,Eagle Air,ARCTIC EAGLE,Iceland,
,,Eagle Air,,Indonesia,
,EGR,Eagle Air,EAGLE SIERRA,Sierra Leone,
,EGX,Eagle Air Company,THAI EAGLE,Thailand,
,GYP,Eagle Aviation,GYPSY,United Kingdom,
,EGN,Eagle Aviation France,FRENCH EAGLE,France,
,SEG,Eagle International,SEN-EAGLE,Senegal,
,EGJ,Eagle Jet Charter,EAGLE JET,United States,
,EMD,Eaglemed (Ballard Aviation),EAGLEMED,United States,
,ERX,Earth Airlines Services,EARTH AIR,Nigeria,
,EXZ,East African Safari Air Express,TWIGA,Kenya,
,EMU,East Asia Airlines,,Macao,
,ECT,East Coast Airways,EASTWAY,South Africa,
,ECJ,East Coast Jets,EASTCOAST JET,United States,
,EHA,East Hampton Aire,AIRE HAMPTON,United States,
,EKC,East Kansas City Aviation,BLUE GOOSE,United States,
,CTK,East Midlands Helicopters,COSTOCK,United Kingdom,
,DXH,East Star Airlines,EAST STAR,China,
,EWA,East-West Airlines,EASTWEST,Australia,defunct
,EAZ,Eastern Air,EASAIR,Zambia,
,EAX,Eastern Air Executive,EASTEX,United Kingdom,
,EAL,Eastern Air Lines,EASTERN,United States,2015[12]
,ECI,Eastern Carolina Aviation,EASTERN CAROLINA,United States,
,GNS,Eastern Executive Air Charter,GENESIS,United Kingdom,
,LIS,Eastern Express,LARISA,Kazakhstan,
,EME,Eastern Metro Express,EMAIR,United States,
,EPB,Eastern Pacific Aviation,EAST PAC,Canada,
,ESJ,Eastern SkyJets,EASTERN SKYJETS,United Arab Emirates,
,FYE,Easy Link Aviation Services,FLYME,Nigeria,
,CMN,Eckles Aircraft,CIMMARON AIRE,United States,
,EJT,Eclipse Aviation,ECLIPSE JET,United States,
,ECQ,Eco Air,SKYBRIDGE,Nigeria,
,DEI,Ecoair,,Algeria,
,ECX,Ecomex Air Cargo,AIR ECOMEX,Angola,
,ECD,Ecotour,ECOTOUR,Mexico,
,XCC,Ecoturistica de Xcalak,XCALAK,Mexico,
,ECV,Ecuatoguineana De Aviación (EGA),EQUATOGUINEA,Equatorial Guinea,
,EQC,Ecuatorial Cargo,ECUA-CARGO,Equatorial Guinea,
,ECU,Ecuavia,ECUAVIA,Ecuador,
,SLO,Edgartown Air,SLOW,United States,
,EDC,Edinburgh Air Charter,SALTIRE,United Kingdom,
,EDJ,Edwards Jet Center of Montana,EDWARDS,United States,
,EIJ,Efata Papua Airlines,EFATA,Indonesia,
,EUW,EFS European Flight Service,EUROWEST,Sweden,
,MSX,Egyptair Cargo,EGYPTAIR CARGO,Egypt,
,EGY,Egyptian Air Force,,Egypt,
,EJX,Egyptian Aviation,,Egypt,
,EMA,Egyptian Aviation Company,,Egypt,
,EIX,Ei Air Exports,AIR EXPORTS,Ireland,
,EIR,Eirjet,EIRJET,Ireland,
,CMX,El Caminante Taxi Aéreo,EL CAMINANTE,Mexico,
,GLQ,El Quilada International Aviation,QUILADA,Sudan,
,ELS,El Sal Air,EL SAL,El Salvador,
,ESC,El Sol De América,SOLAMERICA,Venezuela,
,ELX,Elan Express,ELAN,United States,
,LBR,Elbe Air Transport,MOTION,Germany,
,NLK,Elbrus-Avia Air Enterprise,ELAVIA,Russia,
,DND,Eldinder Aviation,DINDER,Sudan,
,PDV,Elicar,ELICAR,Italy,
,EDO,Elidolomiti,ELIDOLOMITI,Italy,
,ELB,Elieuro,ELILOBARDIA,Italy,No longer used
,EFG,Elifriulia,ELIFRIULIA,Italy,
,ELH,Elilario Italia,LARIO,Italy,
,EOA,Elilombarda,LOMBARDA,Italy,
,MEE,Elimediterranea,ELIMEDITERRANEA,Italy,
,VUL,Elios,ELIOS,Italy,
,IEP,Elipiu',ELIPIU,Italy,
,RSA,Elisra Airlines,ESRA,Sudan,
,EAI,Elite Air,ELAIR,Togo,
,EJD,Elite Jets,ELITE DUBAI,United Arab Emirates,
,FGS,Elitellina,ELITELLINA,Italy,
,ELT,Elliott Aviation,ELLIOT,United States,
,MGG,Elmagal Aviation Services,ELMAGAL,Sudan,
,ELR,Elrom Aviation and Investments,,Israel,
,EAM,Embassy Airlines,EMBASSY AIR,Nigeria,
,EFT,Embassy Freight Company,EMBASSY FREIGHT,United States,
,EMB,Empresa Brasileira De Aeronáutica,EMBRAER,Brazil,
,XSL,Embry-Riddle Aeronautical University,SATSLAB,United States,Sesatlab Proof-of-Concept Flight
,JEM,Emerald Airways,GEMSTONE,United Kingdom,
,EWW,Emery Worldwide Airlines,EMERY,United States,
,EMT,Emetebe,EMETEBE,Ecuador,
,SBC,Emoyeni Air Charter,SABIAN AIR,South Africa,Mount Air
,EMP,Empire Air Service,EMPIRE,United States,
,MPR,Empire Aviation Services,,Nigeria,
,ETP,Empire Test Pilots' School,TESTER,United Kingdom,
,AUO,"Empresa (Aero Uruguay), S.A.",UNIFORM OSCAR,Uruguay,
,PRG,Empresa Aero-Servicios Parrague,ASPAR,Chile,
,CRN,Empresa Aerocaribbean,AEROCARIBBEAN,Cuba,
,VNA,Empresa Aviación Interamericana,EBBA,Uruguay,
,CNI,Empresa Nacional De Servicios Aéreos,SERAER,Cuba,
,VNE,Empresa Venezolana,VENEZOLANA,Venezuela,
,GTV,Empresa de Aviación Aerogaviota,GAVIOTA,Cuba,
,XLT,Empressa Brasileira de Infra-Estrutura Aeroportuaria-Infraero,INFRAERO,Brazil,
,ENC,Endecots,ENDECOTS,Ecuador,
,ENI,Enimex,ENIMEX,Estonia,
,EGV,Enrique Gleisner Vivanco,GLEISNER,Chile,
,ESE,Ensenada Vuelos Especiales,ENSENADA ESPECIAL,Mexico,
,ENS,Entergy Services,ENTERGY SHUTTLE,United States,
,EWS,Enterprise World Airways,WORLD ENTERPRISE,Democratic Republic of the Congo,
,EKA,Equaflight Service,EQUAFLIGHT,Republic of the Congo,
,EQZ,Equatair Air Services (Zambia),ZAMBIA CARGO,Zambia,
,EQT,Equatorial Airlines,,Equatorial Guinea,
,ERH,Era Helicopters,ERAH,United States,
,IRY,Eram Air,ERAM AIR,Iran,
,ERF,Erfoto,ERFOTO,Portugal,
,ERE,Erie Airways,AIR ERIE,United States,
,EAD,Escola De Aviacao Aerocondor,AERO-ESCOLA,Portugal,
,CTV,Escuela De Pilotos Are Aviación,ARE AVIACION,Spain,
,EPC,Espace Aviation Services,ESPACE,Democratic Republic of the Congo,
,ERC,Esso Resources Canada,ESSO,Canada,
,EEF,Estonian Air Force,ESTONIAN AIR FORCE,Estonia,
,ETA,Estrellas Del Aire,ESTRELLAS,Mexico,
,MJM,Eti 2000,ELCO ETI,Italy,
,ETM,Etram Air Wing,ETRAM,Angola,
,EVN,Euraviation,EURAVIATION,Italy,
,ECN,Euro Continental AIE,EURO CONTINENTAL,Spain,
,ESN,Euro Sun,EURO SUN,Turkey,
,EAK,Euro-Asia Air,EAKAZ,Kazakhstan,
,KZE,Euro-Asia Air International,KAZEUR,Kazakhstan,
,GOJ,EuroJet Aviation,GOJET,United Kingdom,
,EUP,Euroair,EUROSTAR,Greece,
,EUU,Euroamerican Air,EUROAMERICAN,Uruguay,
,ECY,Euroceltic Airways,ECHELON,United Kingdom,
,EUC,Eurocontrol,,Belgium,
,ECF,Eurocopter,EUROCOPTER,France,
,EEU,Eurofly Service,EUROFLY,Italy,
,EUG,Euroguineana de Aviación,EUROGUINEA,Equatorial Guinea,
,ERJ,Eurojet Italia,JET ITALIA,Italy,
,JLN,Eurojet Limited,JET LINE,Malta,
,RDP,Eurojet Romania,JET-ARROW,Romania,
,EJS,Eurojet Servis,EEJAY SERVICE,Czech Republic,
,GED,Europe Air Lines,LANGUEDOC,France,
,EUT,European 2000 Airlines,FIESTA,Malta,
,EAG,European Aeronautical Group UK,,United Kingdom,defunct
,EBJ,European Business Jets,,United Kingdom,
,ECB,European Coastal Airlines,COASTAL CLIPPER,Croatia,
,ETV,European Executive,EURO EXEC,United Kingdom,
,EXC,European Executive Express,ECHO EXPRESS,Sweden,
,EBG,Eurosense,EUROSENSE,Bulgaria,
,ESX,Euroskylink,CATFISH,United Kingdom,
,EVE,Evelop Airlines,,Spain,
,VTS,Everts Air Alaska/Everts Air Cargo,EVERTS,United States,
,EMN,Examiner Training Agency,AGENCY,United Kingdom,
,XEL,Excel Charter,HELI EXCEL,United Kingdom,
,GZA,Excellent Air,EXCELLENT AIR,Germany,
,VCN,Execujet Charter,AVCON,Switzerland,
,EJO,Execujet Middle East,MIDJET,United Arab Emirates,
,VMP,Execujet Scandinavia,VAMPIRE,Denmark,
,LFL,Executive Air,LIFE FLIGHT,Zimbabwe,
,EAC,Executive Air Charter,EXECAIR,United States,
,XAF,Executive Air Fleet,,United States,
,ECS,Executive Aircraft Charter and Charter Services,ECHO,Ireland,
,XAH,Executive Aircraft Services,,United Kingdom,
,EXU,Executive Airlines,SACAIR,Spain,
,JTR,Executive Aviation Services,JESTER,United Kingdom,
,EXE,Executive Flight,EXEC,United States,
,TRI,Executive Flight Operations Ontario Government,TRILLIUM,Canada,
,EXJ,Executive Jet Charter,,United Kingdom,
,EJM,Executive Jet Management,JET SPEED,United States,
,TEA,Executive Turbine Aviation,TRAVELMAX,South Africa,
,EXF,Eximflight,EXIMFLIGHT,Mexico,
,EXN,Exin,EXIN,Poland,
,EXR,Expertos En Carga,EXPERTOS ENCARGA,Mexico,
,FXA,Express Air,EFFEX,United States,
,EIC,Express International Cargo,EXCARGO,São Tomé and Príncipe,
,XPL,Express Line Aircompany,EXPRESSLINE,United States,
,XNA,Express Net Airlines,EXPRESSNET,United States,
,XTO,Express Tours,EXPRESS TOURS,Canada,
,JTM,Exxavia Limited,SKYMAN,Ireland,
,AAE,Express Air,ARIZONA,United States,defunct?
,EAV,Eagle Airlines Luftverkehrsges,MAYFLOWER,Austria,
,ABU,Eagle Aviation Services,,United States,
,KWX,Florida Aerocharter,KAY DUB,United States,Allocated in 2014[13]
,FAS,Florida Air Cargo,FLORIDA CARGO,United States,Allocated in 2014[14]
,VNX,Fly Advance,VANCE,United States,Allocated in 2014[15]
,FUM,Fuxion Line Mexico,FUNLINE,Mexico,
,FRB,Fly Rak,RAKWAY,United Arab Emirates,
,FMI,FMI Air,FIRST MYANMAR,Myanmar,
,FRX,Fort Aero,FORT AERO,Estonia,
,PBR,Fast Air,POLAR BEAR,Canada,
,SRE,Fly Jetstream Aviation,STREAMJET,South Africa,
,FTZ,Fastjet,GREY BIRD,Tanzania,
,FAP,F Air,FAIR SCHOOL,Czech Republic,
,FLS,Flying Fast,RAPIDOS,Mexico,
,EYE,F.S. Air Service,SOCKEYE,United States,
,IFA,FAI Air Service,RED ANGEL,Germany,
,FLC,FINFO Flight Inspection Aircraft,FLIGHT CHECK,United States,
,FKI,FLM Aviation Mohrdieck,KIEL AIR,Germany,
,DCM,FLTPLAN,DOT COM,United States,
,FLW,FLowair Aviation,QUICKFLOW,France,
,FMG,FMG Verkehrsfliegerschule Flughafen Paderborn-Lippstadt,HUSKY,Germany,
,FRA,FR Aviation,RUSHTON,United Kingdom,
,FSB,FSB Flugservice & Development,SEABIRD,Germany,
,LEJ,FSH Luftfahrtunternehmen,LEIPZIG FAIR,Germany,
,FBA,Fab Air,FAB AIR,Kyrgyzstan,
,FCS,Facts Air,MEXFACTS,Mexico,
,FAV,Fair Aviation,FAIRAVIA,South Africa,
,FWD,Fair Wind Air Charter,FAIR WIND,United Arab Emirates,
,FLS,Fairlines,FAIRLINE,Netherlands,
,FFC,Fairoaks Flight Centre,FAIROAKS,United Kingdom,
,FWY,Fairways Corporation,FAIRWAYS,United States,
,FCN,Falcon Air,FALCON,Sweden,
,FAR,Falcon Air,FALCAIR,Slovenia,
,FAO,Falcon Air Express,PANTHER,United States,
,FAU,Falcon Airline,FALCON AIRLINE,Nigeria,
,FVS,Falcon Aviation Services,FALCON AVIATION,United Arab Emirates,
,FJC,Falcon Jet Centre,FALCONJET,United Kingdom,
,FAW,Falwell Aviation,FALWELL,United States,
,FDL,Farmingdale State University,FARMINGDALE STATE,United States,
,FAH,Farnair Hungary,BLUE STRIP,Hungary,
,FRN,Farnair Netherlands,FARNED,Netherlands,
,FAT,Farnair Switzerland,FARNER,Switzerland,
,RAF,Farnas Aviation Services,FARNAS,Sudan,
,HBL,Faroecopter,HELIBLUE,Denmark,
,FRW,Farwest Airlines,FARWEST,United States,
,FHL,Fast Helicopters,FINDON,United Kingdom,
,FAY,Fayban Air Services,FAYBAN AIR,Nigeria,
,SKM,Fayetteville Flying Service and Scheduled Skyways System,SKYTEM,United States,
,FDR,Federal Air,FEDAIR,South Africa,
,FLL,Federal Airlines,FEDERAL AIRLINES,Sweden,
,DCN,Federal Armed Forces,DIPLOMATIC CLEARANCE,Germany,
,FRM,Federal Armored Service,FEDARM,United States,
,NHK,Federal Aviation Administration,NIGHTHAWK,United States,
,FNK,Feniks Airline,AURIKA,Kazakhstan,
,FER,Feria Aviación,FERIA,Spain,
,FAK,Financial Airxpress,FACTS,United States,
,FBF,Fine Airlines,FINE AIR,United States,
,FTR,Finist'air,FINISTAIR,France,
,FNF,Finnish Air Force,FINNFORCE,Finland,
,JRF,First Air Transport,,Japan,
,FCC,First Cambodia Airlines,FIRST CAMBODIA,Cambodia,
,MBL,First City Air,FIRST CITY,United Kingdom,
,GGA,First Flying Squadron,JAWJA,United States,
,FIR,First Line Air,FIRSTLINE AIR,Sierra Leone,
,FTS,First Sabre,FIRST SABRE,Mexico,
,FFP,Fischer Air Polska,FLYING FISH,Poland,
,FSX,Flagship Express Services,FLAG,United States,
,FLE,Flair Airlines,FLAIR,Canada,
,WAF,Flamenco Airways,FLAMENCO,United States,
,FMR,Flamingo Air,FLAMINGO AIR,United States,
,FLN,Flamingo Air-Line,ILIAS,Kazakhstan,
,FSH,Flash Airlines,FLASH,Egypt,
,BWY,Fleet Requirements Air Direction Unit,BROADWAY,United Kingdom,
,FLR,Fleetair,FLEETAIR,South Africa,
,FXY,Flexair,FLEXY,Netherlands,
,FXT,Flexflight,,Denmark,
,TUD,Flight Alaska,TUNDRA,United States,
,FCK,Flight Calibration Service,NAV CHECKER,Germany,
,FCV,Flight Centre Victoria,NAVAIR,Canada,
,FCP,Flight Corporation,FLIGHTCORP,New Zealand,
,FDP,Flight Dispatch Services,,Poland,
,FLX,"Flight Express, Inc.",FLIGHT EXPRESS,United States,
,CFI,Flight Inspection Center of the General Administration of Civil Aviation in China,CHINA JET,China,
,LTS,Flight Inspections and Systems,SPECAIR,Russia,
,IVJ,Flight International,INVADER JACK,United States,
,MIT,Flight Line,MATCO,United States,
,FOI,Flight Ops International,,United States,
,OPT,Flight Options,OPTIONS,United States,
,CLB,Flight Precision Limited,CALIBRATOR,United Kingdom,
,FSL,Flight Safety Limited,FLIGHTSAFETY,United Kingdom,
,FSU,Flight Support Sweden,,Sweden,
,CCK,Flight Trac,CABLE CHECK,United States,
,AYR,Flight Training Europe,CYGNET,Spain,
,FWQ,Flight West Airlines,UNITY,Australia,
,KLO,Flight-Ops International,KLONDIKE,Canada,
,CSK,Flightcraft,CASCADE,United States,
,FEX,Flightexec,FLIGHTEXEC,Canada,
,FPS,Flightpass Limited,FLIGHTPASS,United Kingdom,
,FSR,Flightstar Corporation,FLIGHTSTAR,United States,
,KDZ,Flightworks,KUDZU,United States,Avior Technologies Operations
,FAZ,Flint Aviation Services,FLINT AIR,United States,
,OJY,Florida Air,OHJAY,United States,
,FFS,Florida Department of Agriculture,FORESTRY,United States,
,FJS,Florida Jet Service,FLORIDAJET,United States,
,FFG,Flugdienst Fehlhaber,WITCHCRAFT,Germany,
,FLU,Flugschule Basel,YELLOW FLYER,Switzerland,
,EZB,Flugschule Eichenberger,EICHENBURGER,Switzerland,
,FWZ,Flugwerkzeuge Aviation Software,,Austria,
,FCT,Fly CI Limited,DEALER,United Kingdom,
,FEE,Fly Europa Limited,FLY EURO,United Kingdom,
,FXL,Fly Excellent,FLY EXCELLENT,Sweden,
,NVJ,Fly International Airways,NOUVINTER,Tunisia,
,FIL,Fly Line,FLYLINE,Spain,
,IAD,Fly Wex,FLYWEX,Italy,
,FCE,Flycolumbia,FLYCOLUMBIA,Spain,
,FLO,Flycom,FLYCOM,Slovenia,
,GVG,Flygaktiebolaget Gota Vingar,BLUECRAFT,Sweden,
,FPA,Flygprestanda,,Sweden,
,ETS,Flygtransporter I Nykoping,EXTRANS,Sweden,
,INU,Flyguppdraget Backamo,INSTRUCTOR,Sweden,
,FCR,Flying Carpet Company,FLYING CARPET,Lebanon,
,FYG,Flying Service,FLYING GROUP,Belgium,
,FGP,Flying-Research Aerogeophysical Center,FLYING CENTER,Russia,
,FLK,Flylink Express,FLYLINK,Spain,
,FTM,Flyteam Aviation,FLYTEAM,United Kingdom,
,FKS,Focus Air,FOCUS,United States,Omega Air Holdings
,FOP,Fokker,,Netherlands,Flight Operations
,NOF,Fonnafly,FONNA,Norway,
,FOB,Ford Motor Company,FORDAIR,United Kingdom,
,FOR,Formula One Management,FORMULA,United Kingdom,
,FHS,Forth and Clyde Helicopter Services,HELISCOT,United Kingdom,
,FXC,Fortunair Canada,AIR FUTURE,Canada,
,FSA,Foster Aviation,FOSTER-AIR,United States,
,JFY,Foster Yeoman,YEOMAN,United Kingdom,
,FTE,Fotografia F3,FOTOGRAFIA,Spain,
,FIA,Four Island Air,ISLANDAIR,Antigua and Barbuda,
,WDS,Four Winds Aviation,WINDS,United States,
,FXR,Foxair,WILDFOX,Italy,
,FDO,France Douanes,FRENCH CUSTOM,France,
,FFF,Freedom Air Services,INTER FREEDOM,Nigeria,
,FRL,Freedom Airlines,FREEDOM AIR,United States,ICAO Code and callsign withdrawn
,FAS,Freedom Airways,FREEDOM AIRWAYS,Cyprus,
,FWC,Freeway Air,FREEWAY,Netherlands,
,FRG,Freight Runners Express,FREIGHT RUNNERS,United States,
,FAF,Force Aerienne Francaise,FRENCH AIR FORCE,France,
,FMY,Aviation Legere De L'Armee De Terre,FRENCH ARMY,France,
,FNY,France Marine Nationale,FRENCH NAVY,France,
,FRR,Fresh Air,FRESH AIR,Nigeria,
,BZY,Fresh Air Aviation,BREEZY,United States,2015[16]
,FAE,Freshaer,WILDGOOSE,United Kingdom,
,FAL,Friendship Air Alaska,FRIENDSHIP,United States,
,FLF,Friendship Airlines,FRIEND AIR,Uganda,
,FGY,Froggy Corporate Aviation,,Australia,
,ITR,Frontier Commuter,OUT BACK,United States,
,FNG,Frontier Guard,FINNGUARD,Finland,
,FUJ,Fujairah Aviation Centre,FUJAIRAH,United Arab Emirates,
,CFJ,Fujian Airlines,FUJIAN,China,
,GAX,Full Express,GRAND AIRE,United States,
,FAM,Fumigación Aérea Andaluza,FAASA,Spain,
,FFY,Fun Flying Thai Air Service,FUN FLYING,Thailand,
,ROG,FundaciÃ³ Rego,REGO,Spain,
,FUN,Funtshi Aviation Service,FUNTSHI,Democratic Republic of the Congo,
,FGL,Futura Gael,Applewood,Ireland,defunct
,FWK,Flightworks,,United States,
,ACT,Flight Line,AMERICAN CHECK,United States,
,DBC,Gemini Air Group,DIAMOND BACK,United States,Allocated in 2014[17]
,GCH,Gama Aviation Switzerland,GAMA SWISS,Switzerland,
,GOP,Gospa Air,GOSPA AIR,Mexico,
,HGT,GMJ Air Shuttle,HIGHTECH,United States,
,GRE,Greenlandcopter,,Denmark,
,GMQ,Germania Express,CORGI,Germany,
,KNM,GB Helicopters,KINGDOM,United Kingdom,
,GCW,Global Air Crew,GLOBALCREW,Denmark,
,GBH,Global Avia Handling,,Russia,
,GML,G & L Aviation,GEEANDEL,South Africa,
,EXH,G5 Executive,BATMAN,Switzerland,
,MTA,GAK/Mitchell Aero,GAK AVIATION,United States,
,GGS,GATSA,GATSA,Mexico,
,GBX,GB Airlink,ISLAND TIGER,United States,
,GCS,GCS Air Service,GALION,United States,
,FFU,GEC Marconi Avionics,FERRANTI,United Kingdom,
,GCC,GECAS,GECAS,Ireland,
,GEN,GENSA,GENSA-BRASIL,Brazil,
,GET,Get High,AIR FLOW,Portugal,
,GET,GETRA,GETRA,Equatorial Guinea,ICAO Code no longer allocated
,GFW,GFW Aviation,,Australia,
,GHI,GH Stansted Limited,,United Kingdom,
,GPE,GP Express Airlines,REGIONAL EXPRESS,United States,
,GPR,GPM Aeroservicio,GPM AEROSERVICIO,Mexico,
,GIB,GR-Avia,GRAVIA,Guinea,
,BMK,GST Aero Aircompany,MURAT,Kazakhstan,
,GTX,GTA Air,BIG-DEE,United States,
,GAH,Ga-Ma Helicoptere,GAMHELICO,France,
,GBE,Gabon Express,GABEX,Gabon,
,GRT,Gabon-Air-Transport,,Gabon,
,GIG,Gacela Air Cargo,GACELA AIR,Mexico,
,GFC,Gail Force Express,GAIL FORCE,United States,
,GNJ,Gain Jet Aviation,HERCULES JET,Greece,
,SWF,Galair International,GALAIR,United Kingdom,
,GLS,Galaircervis,GALS,Ukraine,
,GXY,Galaxy Airlines,GALAX,Japan,
,GAS,Galena Air Service,GALENA AIR SERVICE,United States,
,GMA,Gama Aviation,GAMA,United Kingdom,
,NML,Gambia New Millennium Air,NEWMILL,Gambia,
,GMJ,Gamisa Aviación,GAMISA,Spain,
,GAN,Gander Aviation,GANAIR,Canada,
,GSA,Garden State Airlines,GARDEN STATE,United States,
,AHM,Garrison Aviation,AIR HURON,Canada,
,GHS,Gatari Hutama Air Services,GATARI,Indonesia,
,EGO,Gauteng Air Cargo,GAUTENG,South Africa,
,GVN,Gavina,GAVINA,Spain,
,GEE,Geesair,GEESAIR,Canada,
,GAB,Gendall Air,GENDALL,Canada,
,GDB,Gendarmerie Belge,BELGIAN GENERMERIE,Belgium,
,FGN,Gendarmie Nationale,FRANCE GENDARME,France,
